id,timestamp,user,system,action,detail
13,2025-09-03 09:02:00,s.orlov,CRM,view,opened account #3756
39,2025-09-03 09:03:00,k.belova,CRM,view,opened account #7209
33,2025-09-03 09:04:00,a.petrov,CRM,view,opened account #8030
5,2025-09-03 09:12:00,d.kozlov,CRM,view,opened account #3578
2,2025-09-03 09:14:00,k.belova,CRM,view,opened account #7394
52,2025-09-03 09:36:00,m.ivanova,FileShare,read,/proposals/doc37.pdf
50,2025-09-03 09:49:00,m.ivanova,FileShare,read,/marketing/doc44.pdf
47,2025-09-03 09:52:00,m.ivanova,FileShare,read,/pricing/doc30.pdf
26,2025-09-03 09:53:00,k.belova,CRM,view,opened account #8321
7,2025-09-03 10:01:00,a.petrov,CRM,view,opened account #3077
6,2025-09-03 10:19:00,k.belova,CRM,view,opened account #8805
20,2025-09-03 10:25:00,k.belova,CRM,view,opened account #3720
4,2025-09-03 10:34:00,k.belova,CRM,view,opened account #9087
55,2025-09-03 10:42:00,k.belova,FileShare,read,/proposals/doc13.pdf
32,2025-09-03 10:50:00,a.petrov,CRM,view,opened account #7938
28,2025-09-03 10:53:00,m.ivanova,CRM,view,opened account #6979
25,2025-09-03 10:57:00,d.kozlov,CRM,view,opened account #4671
18,2025-09-03 11:17:00,d.kozlov,CRM,view,opened account #2290
49,2025-09-03 11:19:00,m.ivanova,FileShare,read,/marketing/doc23.pdf
22,2025-09-03 11:22:00,a.petrov,CRM,view,opened account #2663
16,2025-09-03 11:44:00,s.orlov,CRM,view,opened account #3748
46,2025-09-03 11:45:00,s.orlov,FileShare,read,/proposals/doc21.pdf
9,2025-09-03 11:52:00,a.petrov,CRM,view,opened account #3808
17,2025-09-03 11:56:00,k.belova,CRM,view,opened account #8944
37,2025-09-03 12:00:00,m.ivanova,CRM,view,opened account #3660
42,2025-09-03 12:11:00,s.orlov,FileShare,read,/proposals/doc35.pdf
53,2025-09-03 12:11:00,a.petrov,FileShare,read,/proposals/doc48.pdf
3,2025-09-03 12:14:00,s.orlov,CRM,view,opened account #5507
30,2025-09-03 12:15:00,a.petrov,CRM,view,opened account #6071
27,2025-09-03 12:32:00,k.belova,CRM,view,opened account #7900
54,2025-09-03 12:44:00,m.ivanova,FileShare,read,/pricing/doc27.pdf
45,2025-09-03 12:58:00,m.ivanova,FileShare,read,/proposals/doc15.pdf
36,2025-09-03 13:09:00,m.ivanova,CRM,view,opened account #7925
8,2025-09-03 13:18:00,m.ivanova,CRM,view,opened account #3946
14,2025-09-03 13:24:00,s.orlov,CRM,view,opened account #6825
43,2025-09-03 13:39:00,m.ivanova,FileShare,read,/proposals/doc2.pdf
51,2025-09-03 13:56:00,m.ivanova,FileShare,read,/proposals/doc44.pdf
34,2025-09-03 14:05:00,k.belova,CRM,view,opened account #4358
15,2025-09-03 14:10:00,d.kozlov,CRM,view,opened account #7613
40,2025-09-03 14:26:00,a.petrov,CRM,view,opened account #8937
24,2025-09-03 14:40:00,d.kozlov,CRM,view,opened account #8733
29,2025-09-03 15:05:00,m.ivanova,CRM,view,opened account #9662
10,2025-09-03 15:07:00,m.ivanova,CRM,view,opened account #4829
23,2025-09-03 15:12:00,d.kozlov,CRM,view,opened account #8052
35,2025-09-03 15:46:00,s.orlov,CRM,view,opened account #8012
38,2025-09-03 15:50:00,d.kozlov,CRM,view,opened account #9202
41,2025-09-03 15:50:00,k.belova,FileShare,read,/proposals/doc30.pdf
19,2025-09-03 15:54:00,d.kozlov,CRM,view,opened account #5204
1,2025-09-03 16:21:00,d.kozlov,CRM,view,opened account #3158
31,2025-09-03 16:36:00,a.petrov,CRM,view,opened account #9756
48,2025-09-03 16:37:00,k.belova,FileShare,read,/proposals/doc19.pdf
44,2025-09-03 16:42:00,m.ivanova,FileShare,read,/proposals/doc33.pdf
11,2025-09-03 16:45:00,d.kozlov,CRM,view,opened account #2000
21,2025-09-03 16:46:00,s.orlov,CRM,view,opened account #8873
12,2025-09-03 16:47:00,s.orlov,CRM,view,opened account #6512
87,2025-09-04 09:04:00,m.ivanova,CRM,view,opened account #5477
63,2025-09-04 09:09:00,d.kozlov,CRM,view,opened account #1677
78,2025-09-04 09:11:00,d.kozlov,CRM,view,opened account #7520
71,2025-09-04 09:28:00,m.ivanova,CRM,view,opened account #8297
74,2025-09-04 09:37:00,a.petrov,CRM,view,opened account #3078
